,Unnamed: 0,Mean,Median,Mode,Standard Deviation,Zero Crossing Rate,RootMean Square,Amplitude envelope,Human/Robo
0,0,-0.19,0,0,921.83,14395,921.831421681861,9634.5,0
1,1,0.21,1,0,1445.03,11170,1445.02935264305,9634.5,0
2,2,0.01,63,21,2168.59,6785,2168.58732127623,14826,0
3,3,-0.04,64,2,2343.23,6165,2343.22715501507,14826,0
4,4,0.21,39,-191,1820.28,6931,1820.2831016081,9683,0
5,5,0.35,8,111,1379.15,6771,1379.15233023767,7907,0
6,6,-0.19,0,0,921.83,14395,921.831421681861,9634.5,0
7,7,0.21,1,0,1445.03,11170,1445.02935264305,9634.5,0
8,8,0.01,63,21,2168.59,6785,2168.58732127623,14826,0
9,9,-0.04,64,2,2343.23,6165,2343.22715501507,14826,0
10,10,0.21,39,-191,1820.28,6931,1820.2831016081,9683,0
11,11,0.35,8,111,1379.15,6771,1379.15233023767,7907,0
12,12,-0.03,10,-13,1431.89,8471,1431.88986308305,12113.5,0
13,13,-0.44,10.5,-2,2462.36,7917,2462.36218700661,12113.5,0
14,14,-0.22,16.5,-110,2556.89,8884,2556.88539829223,15261,0
15,15,1.07,73,55,1958.9,8152,1958.90074786856,11843,0
16,16,-0.08,28,37,1570.2,6955,1570.19861164122,8560,0
17,17,1.39,30,-57,1341.72,8174,1341.72081671263,7267,0
18,18,1.06,25,58,1069.34,8449,1069.33830942317,4995,0
19,19,0.61,25,-13,1803.98,8186,1803.98221443561,13948,0
20,20,0.26,22,19,2204.93,6083,2204.92910316863,13948,0
21,21,0.24,-1,-191,1719.96,6485,1719.96125828462,11922.5,0
22,22,0.91,-12.5,159,1220.97,7490,1220.97107664351,8471,0
23,23,0.32,-10,-3,941.28,7968,941.275629133146,5407.5,0
24,24,0.35,4,3,1513.59,14321,1513.58632063057,9999.5,0
25,25,1.55,13,65,1839.54,10114,1839.54321504008,9999.5,0
26,26,0.81,7,137,1650.28,7068,1650.2808094382,6007.5,0
27,27,0.22,13,6,1811.76,7974,1811.75562093788,6657.5,0
28,28,-0.25,14,-47,2034.59,10049,2034.58631175971,9460.5,0
29,29,-0.38,-10,-169,2363.09,9384,2363.09019717826,10091,0
30,30,0.3,-7,-20,1951.89,10967,1951.88747882658,10091,0
31,31,0.69,7,-20,1616.67,12294,1616.67302198064,11121,0
32,32,-0.52,23.5,21,2070.99,10653,2070.99227666353,14042.5,0
33,33,-0.06,48,115,2221.25,8407,2221.24835846872,11191,0
34,34,0.49,6,-43,1983.12,6501,1983.11990056073,7887,0
35,35,1.75,-5,-35,1692.94,7793,1692.93963861681,8652.5,0
36,36,0.48,6.5,-34,1948.11,11490,1948.11422663046,15031,0
37,37,-0.58,20,25,2776.99,11994,2776.99406733252,15031,0
38,38,-1.8,26.5,25,3001.74,8372,3001.74301365057,13549,0
39,39,-1.79,39,-37,2771.54,9487,2771.54449179514,15440,0
40,40,-0.86,89,193,2775.39,9273,2775.38733332845,15440,0
41,41,0.32,12.5,-25,2118.24,11229,2118.24337364714,13332,0
42,42,0.19,17,44,2702.16,8170,2702.16006742754,12621,0
43,43,-1.33,25.5,2,2643.61,8611,2643.60674269075,13583,0
44,44,0.11,18,-16,2571.61,12193,2571.60756531785,13583,0
45,45,-0.03,11,16,2599.15,12799,2599.1488106686,16383.5,0
46,46,-1.77,22,-12,2691.69,11994,2691.69015118754,16383.5,0
47,47,-0.56,33,-129,2894.58,7727,2894.57715564813,14125,0
48,48,-0.48,8,-47,3075.9,7947,3075.89916609761,16981,0
49,49,-1.04,3,36,2353.21,14816,2353.21473733274,16981,0
50,50,-2.14,3.5,29,2494.33,13835,2494.33528620352,18345,0
51,51,-0.89,11,-17,2651.7,15019,2651.70332239487,12818,0
52,52,-1.41,38,143,2877.99,10394,2877.9893345876,12818,0
53,53,-0.28,4,5,2440.2,7313,2440.19644291192,11337,0
54,54,0.77,-1.5,19,2584.47,8825,2584.46954131791,15281,0
55,55,0.32,4,-104,2549.94,10165,2549.93527761,15281,0
56,56,0.14,0.5,-11,1454.06,13276,1454.06074838708,10065,0
57,57,0.67,1.5,-13.5,887.24,15546,887.244374453848,9912,0
58,58,-0.74,8,-12,1752.7,14117,1752.69555827588,9912,0
59,59,-1.28,21,-2,1872.54,12341,1872.54436262536,8665,0
60,60,0.38,15.5,-11,1909.13,14714,1909.13411000904,11518,0
61,61,0.02,27,-11,2060.63,11323,2060.6284599607,13084.5,0
62,62,-1.44,59,-106,1892.22,8636,1892.21980224286,13084.5,0
63,63,-0.3,38,-60,1746.33,7991,1746.33277470246,11102,0
64,64,1.34,11,-33,1739.35,6438,1739.34962845312,9852.5,0
65,65,0.94,2,-24,1524.72,6467,1524.71872815939,7231.5,0
66,66,-0.65,8,-9,1201.39,8656,1201.38555010455,6524,0
67,67,-0.55,12.5,68,1521.47,7665,1521.47122877825,7350.5,0
68,68,0.22,5,11,1543.03,6012,1543.02609180791,7350.5,0
69,69,-0.47,-2,92,1518.6,11243,1518.60242986767,7795.5,0
70,70,-0.43,-0.5,-22.5,1188.24,10608,1188.23619705848,5830.5,0
71,71,-0.55,1,-19,863.28,14278,863.281674773651,6065.5,0
72,72,-0.07,7,12,1904.88,12483,1904.88031645035,10956,0
73,73,-0.62,67,-4,2353.79,10307,2353.7862137416,11142.5,0
74,74,-0.42,84.5,200,2209.59,8086,2209.59235606933,11963.5,0
75,75,0.45,9.5,2,1708.9,7472,1708.90079290753,11963.5,0
76,76,0.58,11,-15,1575.17,9111,1575.17053362485,9317,0
77,77,0.1,16,-19,1808.22,8140,1808.22465418432,9317,0
78,78,1.42,6,10,1584.09,11323,1584.08978596543,10951,0
79,79,-0.65,21,7,1847.8,10371,1847.80209708724,10899,0
80,80,-1,28,-20,1864.32,11931,1864.3223058259,10899,0
81,81,2.36,39,140,1721.59,11410,1721.59341599577,7676,0
82,82,1.33,8.5,-38,1312.84,9527,1312.84056153061,8438,0
83,83,-0.88,12,109,1778.28,11127,1778.27922723064,11847.5,0
84,84,-1.21,36,-33,2020.4,11058,2020.39728518923,11847.5,0
85,85,-0.62,22.5,-2,1833.84,7932,1833.83819624306,9932,0
86,86,-0.59,3.5,10,1535.52,12638,1535.51744373029,9932,0
87,87,-0.1,11.5,-20,2274.79,17182,2274.78748018359,8789.5,0
88,88,0.65,88.5,-26,2871.23,9410,2871.23099384219,10482,0
89,89,-0.59,19,1,2797.85,8063,2797.85207257282,15808,0
90,90,-1.38,52,49,3221.12,7968,3221.11718662951,15921,0
91,91,0.2,52.5,132,2773.9,9279,2773.89610475951,15921,0
92,92,0.07,2.5,10.5,1634.15,13229,1634.15190848342,10236,0
93,93,0.21,6.5,-4,1581.81,12889,1581.8114931938,10236,0
94,94,0.06,9.5,7,1725.88,11938,1725.87859943856,10161.5,0
95,95,0.42,2.5,5,1539.72,12096,1539.71544124231,11703,0
96,96,-0.19,6,2,1431.17,10111,1431.16657311439,8035,0
97,97,-0.13,10,26,1783.7,9033,1783.6952430278,9550,0
98,98,0.24,7,-0.5,1689.97,9561,1689.97284889432,9550,0
99,99,0.31,16,-83,1499.63,6224,1499.63122466825,8224.5,0
100,100,0.15,2,-11,1300.38,9522,1300.38187468143,8924,0
101,101,-0.23,6.5,-8,1317.32,12225,1317.31641984756,8924,0
102,102,-0.76,26,56,1433.22,8615,1433.2167979758,5910,0
103,103,-0.18,3.5,6,1234.15,7704,1234.1464540321,5996.5,0
104,104,-0.33,7,-6,1270.2,5594,1270.19876790997,5996.5,0
105,105,0.12,0.5,14,497.83,17363,497.833677044854,4094,0
106,106,0.67,3.5,3,1501.55,14845,1501.55304934591,8111,0
107,107,0.52,25.5,-14,1927.84,10216,1927.83982996513,8111,0
108,108,-0.4,53,-24,1756.31,10513,1756.30794281641,10113,0
109,109,-1.19,5.5,-12,1474.56,15299,1474.56392875996,10113,0
110,110,-0.42,7,-12,2778.64,15658,2778.6426290547,14307.5,0
111,111,0.7,28,21,3025.02,10116,3025.0173371404,14307.5,0
112,112,0.31,15,-30,1992.67,11026,1992.67059997381,11067.5,0
113,113,0.65,30,49,1811.47,12289,1811.47254464427,8863,0
114,114,0.13,21.5,-17,1890.38,11532,1890.38250626692,11008,0
115,115,0.26,8.5,-17,1735.86,10573,1735.86426600699,9759,0
116,116,0.29,9,38,1969.9,13919,1969.90223869105,10893.5,0
117,117,0.31,21.5,-10,2442.12,13894,2442.12294940283,10893.5,0
118,118,0.67,32,-43,2199.4,8775,2199.40094116557,12463.5,0
119,119,-0.5,23,126,1479.01,7355,1479.00790396806,12463.5,0
120,120,-0.96,4.5,30,1202.06,9651,1202.05902933259,11907,0
121,121,0.51,20,70,2551.66,10965,2551.65992640085,15368,0
122,122,0.58,29,-105,2859.64,9865,2859.63690352464,18101,0
123,123,0.74,20.5,33,2404.52,10383,2404.52320845526,12255,0
124,124,0.26,16.5,33,2144.39,10759,2144.38908549731,12238,0
125,125,-0.1,22,-21,1911.81,8964,1911.80593680426,12238,0
126,126,-0.28,17,-20,1522.41,9227,1522.4053074001,6959,0
