,Spectral centroid,Band Energy Ratio,Spectral Roll Off
0,1756.867501,31.87543678,2794.333333
1,1951.748826,9.830287933,3149.666667
2,2180.826423,9.745067596,3489.333333
3,2424.247265,3.845047712,4356
4,2615.387252,3.192132473,4839.333333
5,1955.425251,15.90140629,3005.333333
6,2041.150396,11.48273087,2955.333333
7,1356.044122,102.2039185,1834.666667
8,1801.367809,25.98455048,3095.666667
9,1650.752978,10.85900307,2509
10,1872.617634,15.91139126,3225
11,2359.593762,19.41242027,5153
12,2024.85295,32.10533142,4372.666667
13,1001.341544,174.3297119,1943.666667
14,2278.183727,9.015377998,3842.333333
15,2312.008252,8.719716072,3850.666667
16,1948.229441,18.16269684,3300
17,2319.261461,6.029866695,3906.333333
18,1982.478907,14.51059151,3118
19,2456.508309,3.113575935,4307.333333
20,2473.198236,2.012327433,4112
21,2521.182202,4.231091976,4045.666667
22,2386.133378,32.21500778,6230.333333
23,2392.487285,30.23894882,6450.666667
24,2262.9755,27.74352646,6100
25,2398.371533,17.69911385,5930
26,2807.292396,18.34732437,6280
27,2756.378016,27.71793556,6716.666667
28,1364.052652,133.943222,2449
29,2008.93705,37.53414536,4970
30,1812.020901,59.2599144,4168.333333
31,2149.102486,8.541150093,3786
32,2098.082673,6.767381668,3511.666667
33,1522.290833,65.44356537,2664.666667
34,2221.678484,17.52940941,4737.666667
35,1388.364258,58.33337784,2586.333333
36,2285.556063,27.11560631,5333.333333
37,2408.091985,15.0571661,5484
38,1771.46012,45.740448,4301.333333
39,1600.344498,77.50096893,3884
40,2374.840176,9.949864388,5179
41,1446.339575,30.80851936,2663
42,1571.955997,72.10739899,2731.333333
43,2659.506521,13.28027916,5687.666667
44,1436.049141,25.78444862,2271.666667
45,1540.837028,52.87504578,2679.333333
46,1761.901786,32.78634644,2968.333333
47,1079.682154,95.27587891,1894.666667
48,1898.412512,11.17383003,3314.333333
49,1783.033086,9.832947731,2845
50,1997.536504,8.824170113,3501.333333
51,1968.111227,5.686078548,3238.333333
52,2293.188881,6.240616798,4085
53,1819.986181,35.76143646,3067.333333
54,1652.737816,8.832623482,2758.333333
55,1176.53102,187.5595856,1917.333333
56,1556.942309,19.96113396,2615.333333
57,1337.950317,42.18916702,2351.333333
58,1311.029441,51.25976563,2215.666667
59,1205.95279,94.83803558,1794.666667
60,1348.710821,113.5707932,2107
61,1226.02075,71.63987732,2110
62,1463.234831,123.183136,2656.666667
63,1726.567123,174.8070526,2968.666667
64,1663.219427,52.48501968,2759
65,1173.62918,177.0475616,2108.666667
66,1827.238438,34.73956299,2979.333333
67,1298.983563,212.1038055,2431.666667
68,1397.431315,40.18658066,2612
69,1516.611936,87.35572052,3235
70,1319.871537,70.66233063,2078
71,1543.768871,25.72334862,2508.666667
72,1913.536607,41.39930725,4594.333333
73,1196.139563,80.04431915,2047.333333
74,1258.997242,52.89286041,2392
75,2349.015512,29.21737099,6011.333333
76,2395.15732,32.54782104,6383.333333
77,1979.741983,19.28652,3359
78,1526.172598,25.54517174,2243.333333
79,1630.711666,29.19255257,2705
80,1362.552803,76.59720612,2231
81,1952.28636,5.446872711,3135
82,1624.571641,12.92303181,2490
83,1919.246944,16.59682846,3098.666667
84,1573.085942,20.12032318,2706.666667
85,2305.223704,11.10560226,4452.666667
86,2222.230166,29.8715477,6019.666667
87,2388.334247,3.686228037,4206
88,2813.45613,11.08681965,6155
89,1933.776001,51.61888123,4585.666667
90,2150.448582,31.80482101,4977.666667
91,1995.719571,22.32987022,4042.666667
92,1639.837294,43.47842789,3780.666667
93,1429.926621,17.82952881,2583.333333
94,2529.657953,20.42184067,6330.666667
95,1549.155446,47.15185165,2906
96,1398.232258,79.15940094,2719
97,1598.140732,61.95927429,3461
98,1695.706383,36.85570908,2888
99,2089.389864,9.924584389,3663
100,1920.998042,31.60663795,4047
101,2119.78243,23.50096512,5168.333333
102,1897.298857,14.7715826,3411.333333
103,1673.843278,66.82627106,3101.333333
104,1707.190664,19.7422924,2767.333333
105,1188.072648,56.13034821,2173
