,Mean,Mode,Median,Standard Deviation,Zero Crossing Rate,RMS,Ampl. Env,Human/Robo
0,0.92,0,8.0,4247.56,4641,4247.559248556752,17873.0,1
1,-1.43,24,56.0,3993.38,5174,3993.383030714685,17873.0,1
2,2.54,30,54.0,3565.29,8183,3565.293581179536,17194.0,1
3,1.18,0,0.0,3331.39,6565,3331.390334379927,16264.0,1
4,-0.77,0,0.0,3137.23,5689,3137.227567455061,15648.0,1
5,1.38,0,0.0,3482.23,6296,3482.2282248583306,15648.0,1
6,-0.23,0,0.0,3234.66,7793,3234.655966250507,16244.0,1
7,0.11,0,0.0,3244.93,9158,3244.9278035111965,16244.0,1
8,0.68,0,0.0,3997.68,5724,3997.683110252737,17137.0,1
9,-0.62,0,0.0,3377.27,4734,3377.271380863552,16596.0,1
10,-2.2,0,0.0,3022.42,7572,3022.4171386491307,17160.0,1
11,1.06,0,0.0,3129.61,10050,3129.6065423627933,17160.0,1
12,-0.16,0,0.0,3418.68,8218,3418.6793180993154,16161.0,1
13,-2.48,0,0.0,3855.61,7118,3855.61417416214,18334.0,1
14,1.28,0,2.0,3999.65,5648,3999.654443823866,18334.0,1
15,2.83,38,50.0,3783.75,7114,3783.7526623710487,16126.0,1
16,5.22,38,38.0,3607.09,10140,3607.092646439789,16126.0,1
17,4.36,0,0.0,3181.71,6724,3181.710326223932,14480.0,1
18,1.08,0,36.0,4287.25,5071,4287.252062801999,17044.0,1
19,-1.6,36,24.0,3770.15,7384,3770.153965025832,16645.0,1
20,-2.92,22,26.0,3301.5,10303,3301.496580340497,16645.0,1
21,-0.57,0,0.0,2654.23,10352,2654.227296220126,13358.0,1
22,4.02,0,0.0,3201.63,7220,3201.6338703855567,16632.0,1
23,4.58,33,47.0,3771.17,5490,3771.169188726488,16632.0,1
24,1.33,0,6.0,3431.5,5696,3431.501540142449,16598.0,1
25,0.86,0,0.0,3070.86,7750,3070.861737362983,15092.0,1
26,1.88,0,0.0,3384.66,7269,3384.6588705510635,15217.0,1
27,0.69,36,55.0,4140.33,6103,4140.327081282348,18079.0,1
28,2.08,0,0.0,3324.48,4847,3324.476027887703,18079.0,1
29,-1.26,0,0.0,3283.7,3318,3283.6957304232683,16414.0,1
30,-0.98,0,2.0,3724.85,5335,3724.8513044147135,16329.0,1
31,1.04,41,25.0,3188.48,8320,3188.484418967733,16315.0,1
32,0.9,0,0.0,2670.52,8095,2670.518949567668,15333.0,1
33,2.71,0,0.0,2880.73,5176,2880.7276893174057,15333.0,1
34,1.54,0,0.0,3591.7,6374,3591.697613942465,15189.0,1
35,1.22,33,38.0,3699.09,11794,3699.0904395540265,16687.0,1
36,-0.57,0,0.0,3504.42,4574,3504.422494506049,17523.0,1
37,-0.23,0,1.0,4032.7,5354,4032.6990415849286,17523.0,1
38,1.01,0,0.0,3489.9,9097,3489.898371013116,17933.0,1
39,0.52,0,0.0,3168.68,10429,3168.677211392792,17933.0,1
40,1.81,0,0.0,3438.54,7774,3438.5354891290567,17455.0,1
41,3.11,0,4.0,3776.6,6591,3776.600472647325,17140.0,1
42,1.13,0,0.0,3232.46,6592,3232.4631521488377,17140.0,1
43,-0.61,0,0.0,2910.07,6416,2910.06750608985,16650.0,1
44,-0.59,0,0.0,3868.93,5697,3868.9282223892446,16650.0,1
45,-2.09,0,0.0,3452.14,5337,3452.139033990375,15602.0,1
46,-2.29,0,1.0,3661.95,6252,3661.954513644319,16492.0,1
47,-0.46,41,36.0,3869.36,5974,3869.361546818803,16492.0,1
48,2.45,0,0.0,3530.97,6209,3530.9673037285406,15847.0,1
49,0.91,0,0.0,3205.05,5348,3205.0484083707693,18603.0,1
50,0.02,0,0.0,3185.27,5575,3185.2737433382395,18603.0,1
51,-0.62,0,12.0,3290.32,6215,3290.3226969402253,19136.0,1
52,2.32,33,40.0,4119.4,5025,4119.400294945855,19136.0,1
53,2.2,0,0.0,3835.5,3318,3835.501256680801,13517.0,1
54,0.78,0,0.0,3801.08,4760,3801.080246456262,17847.0,1
55,1.35,0,29.0,3754.39,6959,3754.392575370881,17891.0,1
56,0.59,0,0.0,3050.44,7218,3050.4416860513825,17891.0,1
57,1.21,0,0.0,2940.08,6789,2940.079961497646,12706.0,1
58,-0.49,0,0.0,3409.73,8037,3409.7334895853664,12706.0,1
59,-1.77,0,0.0,3319.93,7409,3319.9304284879227,12339.0,1
60,2.05,0,0.0,3301.75,8299,3301.752027333367,13830.0,1
61,0.98,0,0.0,3332.15,9514,3332.147921386444,13830.0,1
62,-0.43,0,0.0,3472.4,9239,3472.396368504033,13209.0,1
63,0.5,33,41.0,4244.03,6311,4244.029936275191,15329.0,1
64,1.2,0,15.0,3794.63,8407,3794.635040422201,15329.0,1
65,1.1,0,0.0,3238.4,7397,3238.4000030879447,15910.0,1
66,0.08,0,0.0,3610.88,4365,3610.882099986096,15910.0,1
67,-1.23,0,0.0,3202.82,8096,3202.81758144294,14355.0,1
68,-0.74,0,0.0,3335.21,9255,3335.2111702259576,17203.0,1
69,-2.12,35,46.0,4089.12,6832,4089.1234170663033,17522.0,1
70,-3.74,0,0.0,3609.22,4507,3609.223106154564,17522.0,1
71,-0.04,0,0.0,3362.58,5454,3362.5812406542686,15171.0,1
72,-0.15,34,44.0,3362.51,7855,3362.5140921637785,15682.0,1
73,-0.15,0,0.0,2784.67,4437,2784.671973500649,18297.0,1
74,0.12,0,0.0,3302.01,5652,3302.0101635216083,18297.0,1
75,2.22,35,34.0,3706.85,7987,3706.847256092433,16764.0,1
76,2.07,36,46.0,3551.12,5375,3551.1212327939465,16637.0,1
77,0.02,0,0.0,3321.65,2945,3321.6450337144697,17791.0,1
78,-2.08,0,0.0,3186.24,3713,3186.237508410194,17791.0,1
79,-0.18,0,0.0,3384.11,8687,3384.1125262024016,15100.0,1
80,-0.04,0,0.0,3376.01,11037,3376.0094060887923,15100.0,1
81,-2.9,0,0.0,3245.0,8683,3244.9986563941748,14143.0,1
82,0.46,0,0.0,3747.16,6453,3747.155050168061,13148.0,1
83,-2.86,0,0.0,3782.8,3549,3782.804692288514,16584.0,1
84,-1.56,0,0.0,3857.85,6246,3857.851250372414,16584.0,1
85,3.11,0,6.0,3515.37,8256,3515.368761595289,15695.0,1
86,0.85,0,0.0,3698.91,6986,3698.9128808340433,15695.0,1
87,-2.42,0,22.0,3932.98,6738,3932.980026646461,18142.0,1
88,-0.09,33,51.0,3670.38,7154,3670.376254554838,18564.0,1
89,3.08,33,47.0,3435.02,8349,3435.0222430138647,18564.0,1
90,0.03,0,0.0,3238.53,6861,3238.534171504139,15276.0,1
91,-0.8,0,0.0,3519.27,5850,3519.271792573003,13480.0,1
92,-0.56,0,0.0,3755.33,4506,3755.331833540147,16051.0,1
93,-2.92,0,0.0,3808.72,4631,3808.725643834168,16278.0,1
94,0.02,0,0.0,3542.28,6334,3542.284701996721,16278.0,1
95,0.53,0,16.0,3412.99,7258,3412.9858423380547,14543.0,1
96,0.1,0,0.0,2945.05,9165,2945.052427377143,15771.0,1
97,0.22,0,0.0,3146.65,9708,3146.646889944914,17503.0,1
98,0.61,0,8.0,3434.14,11109,3434.1444130962227,17503.0,1
99,1.58,0,0.0,3269.34,6882,3269.3407470008383,16935.0,1
100,3.87,0,0.0,3332.26,6883,3332.2671576570806,17505.0,1
101,2.64,40,34.0,3570.08,6186,3570.077366108472,17505.0,1
102,1.7,32,27.0,3313.28,5308,3313.2797527525504,17963.0,1
103,1.23,0,0.0,2944.42,3578,2944.420080423308,17963.0,1
104,3.3,0,0.0,3204.54,3019,3204.5418954977013,16696.0,1
105,2.22,0,0.0,3490.21,4039,3490.208519558681,16696.0,1
106,1.14,0,0.0,3448.42,6505,3448.41947129406,17980.0,1
107,3.03,0,0.0,3430.44,6233,3430.4386818598,17980.0,1
108,0.99,39,48.0,3676.56,11194,3676.5558815282543,16365.0,1
109,2.23,0,0.0,3396.49,6824,3396.4866170794785,15691.0,1
110,1.41,0,0.0,3280.34,4390,3280.3399015955647,18848.0,1
111,-1.29,0,0.0,3793.26,6168,3793.256623272409,18848.0,1
112,-0.72,23,32.0,3761.93,7801,3761.9338085617615,17171.0,1
113,-1.49,23,35.0,3529.33,8175,3529.3310527633985,17171.0,1
114,0.97,0,0.0,2832.35,7823,2832.347489274577,13263.0,1
115,3.27,0,0.0,3017.41,8919,3017.416741187733,17400.0,1
116,2.29,38,21.0,3478.61,7459,3478.605763808253,17491.0,1
117,2.67,0,0.0,3419.4,6495,3419.3997426448987,12813.0,1
118,0.57,0,23.0,3322.88,7643,3322.8799060453566,18141.0,1
