,Spectral Centroid,Band Energy Ratio,Spectral Rolloff
0,1846.029862,54.382305,2461.333333
1,1477.363507,173.9909,3174.0
2,1196.424967,108.202194,1545.333333
3,1589.080563,71.12417,2393.0
4,1755.631382,94.451706,2220.333333
5,1762.690086,49.743523,2329.666667
6,1804.085227,180.45879,3020.333333
7,1891.952975,95.72918,2300.666667
8,1769.569618,32.139996,2737.666667
9,1121.80499,231.06877,1723.333333
10,1319.471719,64.83741,6112.666667
11,1783.848178,158.70215,1893.0
12,1494.969693,55.83948,2143.0
13,1390.899595,149.15459,2325.0
14,1723.418097,56.967457,1576.0
15,1949.740607,54.157196,1951.333333
16,2138.988658,52.733395,1995.333333
17,2352.12685,102.384445,2263.0
18,1676.937971,45.860294,3964.0
19,1880.487131,174.59435,2695.0
20,1940.233163,52.845123,2018.0
21,1201.925233,65.807205,1499.333333
22,1234.20071,294.29352,1728.666667
23,1738.334033,130.76508,2723.333333
24,1200.074317,108.37161,2527.0
25,1398.998755,56.42154,1565.0
26,1871.998954,16.030056,1964.666667
27,1671.653566,94.9925,4417.0
28,2078.894758,138.42015,4135.0
29,1816.183825,132.4254,1588.333333
30,1744.745688,38.173542,1545.0
31,2084.600439,60.25237,2395.666667
32,1979.607142,121.54171,1364.0
33,1965.989491,197.31526,2047.0
34,1799.271897,239.89865,2749.0
35,1136.056561,127.93042,2896.333333
36,1337.19123,140.64365,2023.0
37,1094.307029,95.37932,3238.666667
38,1863.859007,43.517693,2606.666667
39,2078.940246,94.59666,2417.0
40,1513.161914,72.082855,1544.666667
41,2076.123092,36.806305,3078.666667
42,2059.700201,106.594574,1735.666667
43,1371.093541,34.726658,1780.666667
44,1464.548799,150.7763,1573.666667
45,1645.159384,126.76425,1772.333333
46,1576.571803,62.746544,4974.0
47,1734.403888,127.51413,1565.0
48,1903.780973,55.426544,2499.0
49,1810.327072,86.1895,3243.333333
50,1533.675102,102.792145,2599.333333
51,1827.023199,64.101,1975.333333
52,1326.654129,69.39237,2270.666667
53,1164.315943,78.62968,2061.666667
54,2345.192528,155.76414,2426.333333
55,1205.715971,161.704,1540.666667
56,1225.127031,85.16942,2078.0
57,1570.307985,56.97462,1572.333333
58,1423.196974,127.85731,3244.666667
59,1626.198252,38.874138,2650.0
60,2088.685322,447.1668,1961.333333
61,1427.299336,94.55099,3072.666667
62,1336.378516,38.28718,1687.0
63,1664.991776,61.2677,2107.333333
64,2077.752887,260.20218,2370.333333
